model,meeting,bucket,block_id_standard,block_id_exclusive,flagged_standard,flagged_exclusive,start,speaker_standard,speaker_exclusive,text_standard,text_exclusive
qwen3.5-9b-q6,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,225,220,1,0,10073.87,SPEAKER_00,SPEAKER_00,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own
qwen3.5-9b-q6,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,226,221,1,0,10092.4,SPEAKER_07,SPEAKER_07,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr
qwen3.5-9b-q6,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,230,225,1,0,10321.48,SPEAKER_08,SPEAKER_08,weren't made aware of that at Planning Commission okay I will just say that you know we are planning to bring the first tranche and I think Councillor Mead reported on this as part of his transition committee report that we're going to plan to bring the first tranche if an admin code changes to coun,weren't made aware of that at Planning Commission okay I will just say that you know we are planning to bring the first tranche and I think Councillor Mead reported on this as part of his transition committee report that we're going to plan to bring the first tranche if an admin code changes to coun
qwen3.5-9b-q6,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,231,226,1,0,10366.34,SPEAKER_01,SPEAKER_01,change the process just yet and pausing this three months we we need to have bigger community community conversation about the idea of changing these public processes thank you that's what we're,change the process just yet and pausing this three months we we need to have bigger community community conversation about the idea of changing these public processes thank you that's what we're
qwen3.5-9b-q6,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,232,227,1,0,10378.57,SPEAKER_07,SPEAKER_07,"we're here for. Thank you. I just want to add, I just want to add real quickly, there are non-profit organizations such as churches, multiple, a substantial amount of churches throughout the city of Lancaster that could use that. That is true. And we could, and they're not being, I work with multipl","we're here for. Thank you. I just want to add, I just want to add real quickly, there are non-profit organizations such as churches, multiple, a substantial amount of churches throughout the city of Lancaster that could use that. That is true. And we could, and they're not being, I work with multipl"
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,8,8,1,0,865.44,SPEAKER_05,SPEAKER_05,questions from the committee if I may come 30s I have just one question there was a I believe ten million dollar grants for cities that may want if they're struggling in some area and that was by governor Shapiro are you aware that are you looking into that grant at all yeah i'm not sure which grant,questions from the committee if I may come 30s I have just one question there was a I believe ten million dollar grants for cities that may want if they're struggling in some area and that was by governor Shapiro are you aware that are you looking into that grant at all yeah i'm not sure which grant
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_identical,29,29,1,0,1578.37,SPEAKER_02,SPEAKER_02,and I think we could present these as well I think these are presented on the website prior to council meetings and prepared for public availability hi I'm,and I think we could present these as well I think these are presented on the website prior to council meetings and prepared for public availability hi I'm
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,225,220,1,0,10073.87,SPEAKER_00,SPEAKER_00,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own,um in reference even when we talked about the redevelopment authority when we're um they're taking people's homes they don't just give it to the they have a realtor that comes out to sell it and different people get to bid on it so keep that in mind so this is city property that we own
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,226,221,1,0,10092.4,SPEAKER_07,SPEAKER_07,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr,so I would keep that in mind yes and it is a competitive market um and there are a lot of programs not being used for first-time homebuyers and there are a lot of families that could use properties across the city that is being taken by bidders there's a reason why the city precluded this from or fr
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,231,226,1,0,10366.34,SPEAKER_01,SPEAKER_01,change the process just yet and pausing this three months we we need to have bigger community community conversation about the idea of changing these public processes thank you that's what we're,change the process just yet and pausing this three months we we need to have bigger community community conversation about the idea of changing these public processes thank you that's what we're
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,232,227,1,0,10378.57,SPEAKER_07,SPEAKER_07,"we're here for. Thank you. I just want to add, I just want to add real quickly, there are non-profit organizations such as churches, multiple, a substantial amount of churches throughout the city of Lancaster that could use that. That is true. And we could, and they're not being, I work with multipl","we're here for. Thank you. I just want to add, I just want to add real quickly, there are non-profit organizations such as churches, multiple, a substantial amount of churches throughout the city of Lancaster that could use that. That is true. And we could, and they're not being, I work with multipl"
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,233,228,1,0,10405.31,SPEAKER_08,SPEAKER_08,away and at the same time I would say that we're also trying to pay for a lot of things this is a conversation about the future use of this parcel there there was no we sent it out to every housing organization in the city that had been doing work there were no proposals that came from any housing n,away and at the same time I would say that we're also trying to pay for a lot of things this is a conversation about the future use of this parcel there there was no we sent it out to every housing organization in the city that had been doing work there were no proposals that came from any housing n
qwen3.5-9b-q8,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",chunk_shifted,234,229,1,0,10485.53,SPEAKER_07,SPEAKER_07,and the city is in desperate need of a low-income subsidized housing and I don't think that HUD or the Housing Authority would be more than happy to grab this to put some housing for the people in the city of Lancaster they are desperate there's more and more homeless people out there so I don't thi,and the city is in desperate need of a low-income subsidized housing and I don't think that HUD or the Housing Authority would be more than happy to grab this to put some housing for the people in the city of Lancaster they are desperate there's more and more homeless people out there so I don't thi
gemma-4-4b,"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",text_differs,28,28,1,0,1928.68,SPEAKER_15,SPEAKER_15,prepared for what i'm supposed to speak about that's okay oh yeah you can sit here see his eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a mana,eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a management company during the enforcement for meters street sweeping and residential permit par
ministral-8b,"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",text_differs,27,27,1,0,1911.51,SPEAKER_04,SPEAKER_04,would you mind coming to the mic so the public can who might be watching at home can um i'm not,would you mind coming to the mic so the public can who might be watching at home can um i'm not prepared for what i'm supposed to speak about that's okay oh yeah you can sit here see his
ministral-8b,"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",text_differs,28,28,0,1,1928.68,SPEAKER_15,SPEAKER_15,prepared for what i'm supposed to speak about that's okay oh yeah you can sit here see his eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a mana,eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a management company during the enforcement for meters street sweeping and residential permit par
phi-4,"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",text_differs,28,28,1,0,1928.68,SPEAKER_15,SPEAKER_15,prepared for what i'm supposed to speak about that's okay oh yeah you can sit here see his eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a mana,eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a management company during the enforcement for meters street sweeping and residential permit par
qwen3.5-9b-q6,"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",text_differs,28,28,0,1,1928.68,SPEAKER_15,SPEAKER_15,prepared for what i'm supposed to speak about that's okay oh yeah you can sit here see his eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a mana,eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a management company during the enforcement for meters street sweeping and residential permit par
qwen3.5-9b-q8,"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",text_differs,28,28,0,1,1928.68,SPEAKER_15,SPEAKER_15,prepared for what i'm supposed to speak about that's okay oh yeah you can sit here see his eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a mana,eyeball on me back there hi i'm not here that often um the parking as you know the parking authority runs the violation parking program under a contract with the city parking authority is basically like a management company during the enforcement for meters street sweeping and residential permit par
deepseek-r1-7b,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_shifted,45,47,1,0,1806.06,SPEAKER_08,SPEAKER_08,So it will be a part of what this body votes to approve.,So it will be a part of what this body votes to approve.
gemma-4-4b,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_shifted,48,50,0,1,1859.28,SPEAKER_07,SPEAKER_07,seated for a new mayor is seated i think it's extremely important so thank you for that are,seated for a new mayor is seated i think it's extremely important so thank you for that are
ministral-8b,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_shifted,48,50,1,0,1859.28,SPEAKER_07,SPEAKER_07,seated for a new mayor is seated i think it's extremely important so thank you for that are,seated for a new mayor is seated i think it's extremely important so thank you for that are
phi-4,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_shifted,11,11,0,1,929.6,SPEAKER_04,SPEAKER_04,question and I know I had either the section wrong or the article wrong yeah,question and I know I had either the section wrong or the article wrong yeah
phi-4,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_shifted,48,50,1,0,1859.28,SPEAKER_07,SPEAKER_07,seated for a new mayor is seated i think it's extremely important so thank you for that are,seated for a new mayor is seated i think it's extremely important so thank you for that are
qwen3.5-9b-q6,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_identical,38,38,0,1,1679.24,SPEAKER_01,SPEAKER_01,but to some earlier points made by people up on the day or rather at the table the charter is the bible and let me actually look up something in my three minutes. I could be wrong but I do believe that the charter can be amended through referendums so long as it's not affecting the government struct,but to some earlier points made by people up on the day or rather at the table the charter is the bible and let me actually look up something in my three minutes. I could be wrong but I do believe that the charter can be amended through referendums so long as it's not affecting the government struct
qwen3.5-9b-q8,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_identical,30,30,1,0,1436.78,SPEAKER_05,SPEAKER_05,that's that was that was really the basis of my question was kind of from like the policy side and like can we set policies that would affect future,that's that was that was really the basis of my question was kind of from like the policy side and like can we set policies that would affect future
qwen3.5-9b-q8,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_identical,31,31,1,0,1444.82,SPEAKER_03,SPEAKER_03,budgets yeah and I think the answer there is really you can't you can't directly control the subsequent budget you can only control the current one that being said you want to put policies in place that keep it that direct the administration on how to administer the budget ordinance on an annual bas,budgets yeah and I think the answer there is really you can't you can't directly control the subsequent budget you can only control the current one that being said you want to put policies in place that keep it that direct the administration on how to administer the budget ordinance on an annual bas
qwen3.5-9b-q8,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",chunk_identical,32,32,1,0,1502.68,SPEAKER_05,SPEAKER_05,"and and uh just my like my final piece of kind of where like my thought process was going on this You know, there's been a lot of talks about tax exemptions for low-income earners, and a question that did come into my mind was, you know, through the admin code, would we be able to exempt any future ","and and uh just my like my final piece of kind of where like my thought process was going on this You know, there's been a lot of talks about tax exemptions for low-income earners, and a question that did come into my mind was, you know, through the admin code, would we be able to exempt any future "
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,13,11,0,1,958.92,SPEAKER_03,SPEAKER_03,Thank you.,Thank you.
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,53,51,1,0,3013.18,SPEAKER_04,SPEAKER_04,All right. Please.,All right. Please.
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,87,85,0,1,5545.56,SPEAKER_03,SPEAKER_03,my report great thank you so much for doing that um and counselor med uh do you have a motion on,my report great thank you so much for doing that um and counselor med uh do you have a motion on
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,89,87,0,1,5560.52,SPEAKER_03,SPEAKER_03,second motion and a second any council comments on the resolution oh i'm so sorry oh this is committee the whole sorry i'm we're doing it first so we're all backwards um okay uh all those in favor of moving that to our next meeting any opposed thank you very much um our next resolution number 42 is ,second motion and a second any council comments on the resolution oh i'm so sorry oh this is committee the whole sorry i'm we're doing it first so we're all backwards um okay uh all those in favor of moving that to our next meeting any opposed thank you very much um our next resolution number 42 is 
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,94,92,0,1,5934.63,SPEAKER_12,SPEAKER_12,are there any questions from other members of the committee comments uh thank you marlisa for,are there any questions from other members of the committee comments uh thank you marlisa for
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,101,99,1,0,6127.45,SPEAKER_07,SPEAKER_07,I was going to say the only comment I would make is I think it might make sense to move all of these,I was going to say the only comment I would make is I think it might make sense to move all of these
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,102,100,1,0,6133.03,SPEAKER_12,SPEAKER_12,yeah at once. Okay so I'll make a motion to move those three nominations to our next council,yeah at once. Okay so I'll make a motion to move those three nominations to our next council
deepseek-r1-7b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",chunk_shifted,103,101,1,0,6140.4,SPEAKER_15,SPEAKER_15,meeting on June 10th. All in favor? Aye. I just wanted to add if I may counselor colleagues that we're very fortunate to have Lloyd Henry because he has a long time he's a retired firefighter Donald Palmer is a retired police chief and appreciation for Ms. Darby who regularly attends the civil servi,meeting on June 10th. All in favor? Aye. I just wanted to add if I may counselor colleagues that we're very fortunate to have Lloyd Henry because he has a long time he's a retired firefighter Donald Palmer is a retired police chief and appreciation for Ms. Darby who regularly attends the civil servi
