condition,meeting,block_id,in_baseline,in_condition,speaker,start,word_count,text
A2_size3_off0_repeat,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",111,1,0,SPEAKER_04,4005.4,86,questions thank you miss Grievous to answer your question a couple things the critical repair program isn't comprised of millions of dollars it's a few hundred thousand dollars the many of the programs within this budget are for owner-occupied dwellings and if there is a tenant the landlord is requi
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",43,1,0,SPEAKER_08,2330.88,18,file and not a sharepoint link that we could access or a pdf or something like that just
A2_size3_off0_repeat,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",75,1,0,SPEAKER_03,3972.78,203,director campbell thank you and i just want to say to director campbell and director stephen campbell as well because i know they've worked closely together on this that i'm incredibly proud that we have this capital budget in front of us it's really it's kind of a momentous thing and i'm glad that 
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",45,1,0,SPEAKER_03,2258.78,47,finalized our comments yet but even with it being tabled twice I'm not sure if they'll be able to get to a point where it would be able to be approved conditionally within that time frame so you can take a vote or you can table it
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",46,1,0,SPEAKER_07,2277.7,322,so one thing one thing I don't I don't mean to remember for you did you have something more I don't want to interrupt you one thing to remember with this is that because it is a flexible residential development it differs a little bit from a land development because they can't get the same time exte
A2_size3_off0_repeat,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",47,1,0,SPEAKER_03,2401.89,34,time they come we need to advertise for it well that's not 100 correct so if it's tabled at the hearing then they they wouldn't need to re-advertise but we would need a court
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",5,1,0,SPEAKER_10,491.94,138,you mr. vice president the personal committee has two items on the agenda but the first item is a push to back to the next committee meeting and the second item is the nomination for reappointment to the city revitalization and Improvement Zone Authority Shelby Norman. She currently serves on the bo
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",21,0,1,SPEAKER_12,1344.78,77,because of it thank you for presentation director Campbell I'm sure we'll get more to this in the March meeting in the first and second reading but can you just talk a little bit about the timeline of some of these projects and compared to the distribution of some of the funds through the disburseme
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",24,0,1,SPEAKER_12,1616.15,43,"That helps a lot. And just my follow-up question is, given that these are some of the first three-year plans, are we confident in our ability to service the whole debt, given the need for additional bonds after the planning or design phase?"
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",38,1,0,SPEAKER_07,1996.69,57,"My last question, I'm sorry. I just thought of this just because I know that there's a large, there's a big question mark on what the federal government is going to be doing. Have you received anything or any notices of grants that may have been already either denied or that they are going forward w"
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",48,0,1,SPEAKER_10,2469.77,33,"Thank you, Constable Hirsch. Thank you, Dr. Campbell, for the presentation. What would be the role of the city in those projects? Will the city be involved in ongoing oversight of those projects?"
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",67,1,0,SPEAKER_01,3631.16,20,that we have good question the only funding that i saw that went to the shelters was from 2021 that
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",69,1,0,SPEAKER_07,3712.07,39,listed for the cbd job dollars to repair do you have a stock number how many we have funded with cdbg how many are going to be funded and the repairs being done is there a stock number a
B_size3_off1,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",71,1,0,SPEAKER_07,3808.62,15,so so you're looking at probably repairing what three houses with that particular money depends
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",6,1,0,SPEAKER_12,357.94,436,well thank you very much for inviting me this evening I have not actually been to a City Council meeting or a committee's City Council meeting before so this is kind of my first first opportunity so I grew up in Lancaster County graduate of Warwick High School after law school I moved back after a s
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",10,0,1,SPEAKER_16,528.0,33,"Councillor Collins. Thank you, Mr. Grouch, for taking our questions and your willingness to serve. How can we use CRITS to help promote economic development and equitable economic development here in the city?"
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",11,1,0,SPEAKER_12,541.73,189,"Well, I think you've already been doing it. You know, like I said, just the way that Lancaster City has changed just in the last few years and certainly over the last 10 or 15 years or 20 years, I mean, it looks completely different than when I grew up. There's always a new coffee shop opening up, a"
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",19,0,1,SPEAKER_08,1230.89,1037,Thank You Tina Good afternoon. I'm sorry. Good evening members of council. Thank you for being let me be here tonight to work with you the presentation I handed out to you and is Will look similar for those of you who might have been here about three years ago when the last you know multi-purpose fi
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",31,1,0,SPEAKER_15,2305.17,66,didn't talk about this but some of the work that he did in the kind of amortization is really to stack some of those so for example there's a couple are five years or ten years those are actually that financing is actually um shown more at the beginning of the the term so that doesn't stretch out as
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",33,1,0,SPEAKER_09,2332.9,157,question um could perhaps go to either director campbell although um it's just a very general question and it is some of the projects that are listed in this i know are are not maintenance but they're extending the useful life of the assets so they're almost like rehabilitation and not repair so to 
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",55,1,0,SPEAKER_04,3157.97,13,so do we know if records will be destroyed that has counselors at
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",57,1,0,SPEAKER_04,3200.48,15,weren't provided with the specifics just a list and they're asking those documents be destroyed
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",61,1,0,SPEAKER_03,3341.19,197,good evening health members i'm pleased to be here today to share in updating you all as director campbell mentioned on lancaster's urban forestry program this is an effort that continues to grow in both impact and engagement at the heart of this work is our new urban forester mike meyer who in just
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",63,1,0,SPEAKER_09,3936.94,108,i spoke right when i see this presentation it's it's a it's it's wonderful in so many ways you note I feel like I see street treats as something that if the city invests in in the short term has huge long-term benefits in so many different ways and the fact that you all are engaging the community in
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",72,1,0,SPEAKER_06,4389.29,69,"Is there any type of metrics or studies or any type of research that shows a particular tree or trees in general that have more susceptibility of becoming disease? I'm sure that there are particular ones, but I'm familiar only with a few trees. I'm not, I have allergies around this season, so trust "
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",84,0,1,SPEAKER_16,5176.51,15,happy happy to do that as well with the timeline of the project thank you
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",95,1,0,SPEAKER_05,5473.62,38,much. Do we have a context of the cost for retaining special counsel for a variety of we know that we do this for a variety of reasons. Do you have an idea of a cost of this?
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",105,0,1,SPEAKER_05,5584.82,133,miss Diaz mr. Hirsch hi hi thank you and then councilmembers we also have resolution 21 2025 on our committee of the whole agenda this evening it's recognizing Women's History Month we typically bring this forward I'm proud to introduce it again recognizing the impact of women in the history of both
B_size3_off1,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",106,1,0,SPEAKER_10,5645.64,10,Roya hi mr. Glees hi miss Diaz mr. Hershey hi
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",13,0,1,SPEAKER_00,1041.27,1768,uh good uh uh thank you tina um for that introduction and great to be before you again as indicated uh we talked about this earlier this year i know time flies here we are in september already um i put before you a narrative and uh some one financing schedule and one graph so hopefully we can walk r
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",14,0,1,SPEAKER_11,1685.05,193,me entertain those can i just add quickly too i don't don't think anybody from dpw is here from public works but i did just want to say the timeline might seem a bit aggressive and we did talk to them about that quite a bit so it sounds like we will have three different contractors doing the work be
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",20,0,1,SPEAKER_14,1945.78,72,and this might not be the question for you this might actually be more of a question for public works but i just see that there's an estimated four to six month delivery for the materials how solid do we feel about that given i mean i don't know what if anything is being sourced from overseas but wi
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",38,0,1,SPEAKER_14,2316.07,80,question um if it were up to me i would probably you know if i could wave a magic wand me personally i would take uh traffic off of the west grant street portion by market but i do know that some box trucks do go through there every now and then are we OK with the height in light of that. I don't kn
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",40,0,1,SPEAKER_14,2354.44,15,They probably yeah they probably only overhang like the sidewalk so I'm sure it's fine.
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",41,0,1,SPEAKER_12,2361.58,18,but how far is the bump out i guess that's the question yeah thank you councillor hirsch that
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",49,1,0,SPEAKER_13,3034.4,5,"If I may, Councilor Craig?"
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",52,1,0,SPEAKER_10,3050.7,17,"So they can visit our website at anchorlancaster.org, there is information there about volunteering and about giving."
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",53,1,0,SPEAKER_07,3059.2,26,know it's a passionate subject in our community today so the more that we can help invest our resources into organizations like yours I think it's
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",54,1,0,SPEAKER_11,3066.84,48,worth mentioning thank you thank you can I just add to you I believe the total project is about 1.6 million is that is that correct at least that's what my notes are saying so a little bit more is what I'm saying no it is it's actually
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",55,1,0,SPEAKER_10,3082.38,47,two and a half to three million yes for the day center alone to to put the wall up and lower the ceiling a little bit and put in the unit for heating and cooling is about a hundred and forty thousand thank you are there any
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",69,1,0,SPEAKER_09,3572.8,38,was that the rotten eggs that was the rotten eggs yes just just so everybody knows there was an incident with the spill of rotten eggs so uh but that was our hazard incident it was nothing more
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",73,1,0,SPEAKER_16,3637.87,18,received any response from you or or the chief but you're welcome to bring that forward uh please
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",74,1,0,SPEAKER_09,3645.31,20,feel free to forward me the email request that you sent to chief and i because i didn't receive it
B_size3_off1,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]_standard",76,1,0,SPEAKER_09,3659.46,38,chief mendez and and i would just qualify that if i may and until there's a meeting right you had requested a meeting with chief and i okay thank you thank you that would be all for public
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",9,1,0,SPEAKER_10,1546.22,265,miss lopez good evening good evening jessica lopez manchester city first let me start by saying hi i hope everyone is having a good evening um i truly do appreciate the echo cause for the for council member diaz to resign and the outcry of accountability excuse you i'm talking Could we please have o
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",11,0,1,SPEAKER_10,1670.43,145,"Folks in the room, please. But where we do need that accountability from her, and yes, from our mayor, and from you, because you had your own issues like everybody else. So, where we do need accountability, let's not get lost in what actually brought us here. An attack on our youth, our black and br"
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",19,1,0,SPEAKER_15,1859.56,33,wanted to start off by saying it's an honor to be in this room this is my first time being here after the chamber has been named after my grandfather nelson polite senior
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",46,1,0,SPEAKER_14,3081.3,41,"Okay. I'll finish it up. Thank you. You are responsible for what you post on social media, so just be aware of that. think you do owe muslim women an apology thank you thank you mr harris our next speaker yes"
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",47,0,1,SPEAKER_04,3098.68,13,madam president next is sandra rosario of washington borough miss rosario good evening
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",56,0,1,SPEAKER_10,3934.58,156,Jessica Lopez the felon with less felonies than our president huh so let me start by reminding you right that for the last five years I've been here more than every single one of yous in this room so we're user thick today I hope yous are thick in two weeks and I hope you're thick weeks after that b
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",73,1,0,SPEAKER_22,4596.88,345,thank you good evening daryl legacy 100 block of north mary again um i just want to make two points one i appreciate the statement of letting it happen at the ballot box and i i'm sure that counselor yes is not going to stand down so i think we're all going to have that so i think that's great that'
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",80,0,1,SPEAKER_01,5181.5,14,"Mr. Acosta. I just got an operation, so that's why I'm like this, okay?"
B_size3_off1,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",92,1,0,SPEAKER_00,5918.18,5,"Council President, if I may."
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",10,0,1,SPEAKER_07,1214.88,19,please next is alexander king mr king good evening good evening i live on the 600 block of north
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",11,0,1,SPEAKER_18,1220.72,277,"shipping street and i've been reading about the data center uh projects for lancaster city with with increasing alarm in the newspaper. My, Memphis was mentioned previously, my son lives in Memphis, goes to college there, and he's been telling me some real horror stories about how data centers in th"
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",19,0,1,SPEAKER_05,1758.07,524,please next speaker is patricia eckman good evening i'm from this lampeter township i've been reading the articles in the lexington newspaper concerning the proposed data centers at greenfield road and harrisburg pike preliminary construction has already begun at the greenfield road site prior to th
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",24,0,1,SPEAKER_24,2312.0,236,our next speaker mr harris is dan weigel good evening uh dan weigel uh clarendon drive um as you may have noticed there's a petition going around um there's a petition going around in our community about the data center we have hundreds of signatures on it it's been in the news obviously this is a b
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",31,1,0,SPEAKER_24,2557.46,16,and members of the city government thank you i look forward to your actions counselor craig
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",32,0,1,SPEAKER_23,2569.61,64,thank you council president um i am very interested in everything that everyone has to say but it's really difficult when someone's at the speaker and and i know you want to applaud them because what they're saying is good but if we can't hear them you know then i'm getting half half of what they're
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",35,1,0,SPEAKER_11,2607.14,7,"Good evening. Good evening, everyone. Thank you."
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",50,0,1,SPEAKER_29,3850.6,385,uh tony dash's 700 block in new holland avenue so what i signed up to talk about was actually parking um but i'm going to connect these two issues because you have some issues that web out over time the city has a parking issue it depends on how you look at it in what perspective that issue is maybe
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",53,0,1,SPEAKER_11,4023.93,27,"and then may I also have you start with your block of residence? Thank you, oh, I'm sorry. So I'm in the 100 block of North Main."
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",58,1,0,SPEAKER_21,4377.06,14,you council president the economic development committee did not meet thank you finance committee
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",59,1,0,SPEAKER_22,4381.54,99,councillor arroyo thank you council president the finance committee meeting did or i'm sorry the finance committee did meet we had one item on the on the agenda we heard from director of administrative services tina campbell yesterday for the 2025 mid-year budget report overall the city's finances a
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",63,0,1,SPEAKER_00,4439.08,55,committee met last evening august 11 and reviewed the appointments to the downtown investment district already and a board of plumbing examiners and the committee also reviewed re-appointments to the sign commission public art advisory board higher education authority and the board of plumbing exami
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",75,0,1,SPEAKER_23,4719.32,209,community planning thank you council president um we reviewed this in committee um a few weeks ago and it was brought forth to today administration resolution 50 2025 authorizing a grant authorizing a ground lease agreement for a sunnyside environmental center we were presented by our solicitor mr h
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",78,1,0,SPEAKER_11,5131.94,120,highlighting all of those all the pieces that it took to get us to this time I I know I am personally extremely excited for this development on Sunnyside a long dormant area in the city development has been difficult to crack and I am appreciative that this includes an element of preserving the natu
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",81,1,0,SPEAKER_29,5227.17,254,forward to this project i think this is going to be a good investment in the environmental values our community is starting to stand behind but i also want to use this as an opportunity to kind of speak to when investment comes in one area we do have to be mindful of what occurs around it there's go
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",87,0,1,SPEAKER_12,5564.02,146,thank you council president this resolution authorizes a routine update to our memorandum of understanding with the lancaster county conservation district the changes being made are primarily administrative in nature including minor word changes uh and allowing lccd to provide documents online and o
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",93,0,1,SPEAKER_23,5705.53,28,Craig thank you council president I'm gonna ask that mr. Cohen come and speak on this because my computer died and my notes are in there thank you
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",105,1,0,SPEAKER_02,6080.55,125,"Thank you, Frank Arcolio, Old Trinity Place. I know I've been critical of the administration with respect to the data centers, but I believe in giving credit where credit is due and in order to be fair. I sat through a tremendously detailed presentation on the five-year plan for the Department of Pu"
B_size3_off1,"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]_standard",107,0,1,SPEAKER_18,6144.36,359,comments for this Alexander King 600 block of North Shippen so kind of to play up Tony Dastro's comments I'd like to say parking management in the city is an unmitigated disaster it seems to be a sort of grassroots sort of thing which seems to be the dumbest way to plan anything I've lived in a lot 
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",13,0,1,SPEAKER_15,908.68,78,"I'm not necessarily sure about that, because that's going to depend on the process that will be used to make these recommendations and draft the ordinance. I want to stress that it is not specifically about this project. It's about all projects, including theirs. So we do want to address issues abou"
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",14,1,0,SPEAKER_08,941.12,4,That's all I have.
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",16,1,0,SPEAKER_01,985.0,275,yes uh i'm frank arcolio from old trinity place um i i have heard that any ordinance or amendment to the zoning code that would be introduced or requested by council go to the planning commission and then be a draft of a suggested ordinance come out of that and then obviously be presented to Council
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",22,1,0,SPEAKER_07,1450.0,14,speaker please our first speaker is irene grievous thank you good evening good evening
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",23,0,1,SPEAKER_06,1464.08,358,my name is irene grievous and i'm on the 400 block of west end avenue i am here today to raise an issue that has gone unresolved for four years this prolonged and unexplained condemnation of my property located on 901 manor street this has placed a tremendous amount of burden on me personally and ne
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",54,1,0,SPEAKER_15,3693.54,250,equipment or well I can share what I know specifically related to the AV equipment and maybe just the technological expenses overall you can address but um yes so there there has been money allocated for the av equipment um for this year uh there's a company that we've engaged to make long needed up
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",55,1,0,SPEAKER_14,3775.38,35,add yeah um yeah thanks i will just say too that this is we're actually purchasing the equipment with the grant that we received so it's not coming out of the general operating fund budget
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",61,1,0,SPEAKER_07,3926.8,96,president thank you considering the following applications and recommendations from the Historical Commission for improvements to properties within the Heritage Conservation District first is Kiana Castro owner of 550 hand Avenue proposes construction of an uncovered stoop on the facade of a two-sto
B_size3_off1,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",77,1,0,SPEAKER_04,4866.22,324,"Just very briefly, wanted to thank our folks for coming out tonight to continue to advocate for how we want our community to be built in the future and sharing information. Also love the graphics that were also brought up here earlier, so thank you for all your hard work on that. One thing I do wann"
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",16,1,0,SPEAKER_03,695.13,10,council president the Economic Development Committee did not meet thank
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",17,1,0,SPEAKER_04,698.73,156,you Finance Committee counselor Arroyo Thank You council president the Finance Committee did meet we had three items on our agenda for that evening we discussed resolution number 1225 amending the supplemental pension plan for city employees and resolution number 1325 exonerating of utility fees exc
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",27,0,1,SPEAKER_00,889.01,54,clicks thank you madam president that this nomination was this was with you to February 3rd by the personal committee and full consoles now I'll make a motion to reappoint the Shelby Norman to the city revitalization and improvement zone authority for a term from December 31st of 2024 to December 31
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",34,0,1,SPEAKER_09,1045.73,43,with with this room thank you very much council Hirsch I'll just say whoever figured out that we owned 82% specifically of the road at kudos to them spent a lot of time in GIS I bet yeah any additional council comments on
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",43,1,0,SPEAKER_04,1210.02,126,through this resolution during our last finance committee meeting we are amending the city of lancaster supplemental pension plan to reflect the correct amount of matching contribution for police officers hired on or after january 1 of 2011. the plan currently incorrectly states that this is a 25 th
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",54,0,1,SPEAKER_02,1437.66,147,second we have a motion and a second counselor craig thank you council president as presented by deputy director geyser and community development administrator jen rummel at committee meeting on the third they are recommending substantial amendments to each of the annual action plans from for 2021 t
B_size3_off1,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",63,0,1,SPEAKER_08,1834.58,14,um you want to reassess and make changes for what for what you're reassessing
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",31,0,1,SPEAKER_25,3220.95,522,next speaker next speaker is Ann Torres good evening hi my name is Ann Torres I live in lettuce but I work in Lancaster years back my friend had a baby through IVF they finally had their baby but over time they noticed that he was having issues breathing in and out of hospitals extensive stays but n
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",38,0,1,SPEAKER_13,3704.84,50,council while uh council president if i may while we're getting the technology situated mayor srachi um i i want to just acknowledge the work of the department of public works in preparing for council the first ever capital plan to be presented this is one of the requirements that
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",45,1,0,SPEAKER_26,4524.05,111,go forward for all of these presentations thank you for that dr campbell i appreciate it a quick question that may help provide context here the grant column are grants that we have we know we have received only okay and uh not to say there won't be additional grants in the future and then i also wa
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",64,1,0,SPEAKER_22,6235.04,246,the unfunded category can you talk a little bit more about that yes um there were some assumptions made and this is a combination of upgrades that we might need to make in our separate sewer areas these this is a placeholder because we don't know yet what those might be the other thing the other sor
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",67,0,1,SPEAKER_22,6375.32,215,sure um i'm trying to do some fast math in my head here i know that through a half a million dollars in arpa funding that the city received through the lancaster clean water partners we are installing about 380 new street trees this year we are i think we're about halfway through that target so prob
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",77,0,1,SPEAKER_30,7412.26,37,counselor colleagues Thank You madam president and thank you for the presentation and I'm not sure who would answer this question and how is the department working to minimize the cost of those projects we can we
B_size3_off1,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",79,1,0,SPEAKER_30,7480.94,14,unforeseen circumstance thank you thank you madam president thank you council royal maybe this
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",20,1,0,SPEAKER_11,1355.13,455,great honor to be able to introduce this um resolution of june king for the last few years um so i'm going to read the resolution as it's as it is has been written the road road to freedom has been arduous for africans and the important work of equality continues today and historically historically 
B_size3_off1,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",28,0,1,SPEAKER_10,1826.26,66,to see tony dash's 700 block new holland avenue i'm also glad to see this uh because i mean this can be said about the first resolution as well with the net with the federal government turning over everything trying to erase people from our country removing transgender individuals from the military 
